request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_193,37.71,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-05-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available."
request_194,35062.26,affordable_later,wait,2025-10-15:132800,2025-10-15,none,"Pay INR 132,800 in full on 15 October 2025. Paying earlier would take the balance below the INR 113,600 minimum."
request_195,968.96,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-02-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available."
request_196,762.3,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,19080722.96,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 January 2026. None of the available options keeps the IDR 26,245,900 minimum protected."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days."
request_199,23674000,affordable_with_plan,installments,2024-09-04:23674000,2024-09-04,none,"Use 1 installments of IDR 23,674,000, starting 4 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,22769580.29,affordable_with_plan,full_payment,2026-04-03:23997000,,stop:event_18492|stop:event_18493,"Stop the cloud storage plan and stop the streaming subscription, then pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,1442.1,affordable_with_plan,installments,2025-05-07:1442.10,2025-05-07,none,"Use 1 installments of EUR 1,442.10, starting 7 May 2025. This leaves at least EUR 1,400 available."
request_204,588.74,affordable_now,full_payment,2026-01-04:588.74,2026-01-04,none,"Pay EUR 588.74 today. This leaves at least EUR 1,300 available over the next 90 days."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.7,affordable_with_plan,installments,2025-08-03:1404.70,2025-08-03,none,"Use 1 installments of EUR 1,404.70, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4413.7,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum."
request_208,3056556.18,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum."
request_209,1654.91,not_affordable,not_recommended,none,,none,"Do not make this payment by 25 November 2025. None of the available options keeps the ZAR 18,400 minimum protected."
request_210,847.99,affordable_with_plan,partial_payment,2026-04-06:847.99|2026-04-15:512.03,2026-04-15,none,"Pay USD 847.99 today and the remaining USD 512.03 on 15 April 2026. This completes the full request and keeps the USD 2,000 minimum protected."
request_211,287.1,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum."
request_212,5314751.21,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 February 2025. None of the available options keeps the IDR 29,579,800 minimum protected."
request_213,2332.5,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 March 2026. None of the available options keeps the USD 2,100 minimum protected."
request_214,42970.32,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-15,none,"Use 2 installments of INR 36,270, starting 4 December 2024. This leaves at least INR 174,900 available."
request_215,29986,affordable_with_plan,installments,2025-05-06:29986,2025-05-06,none,"Use 1 installments of ZAR 29,986, starting 6 May 2025. This leaves at least ZAR 15,700 available."
request_216,474.11,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 September 2026. None of the available options keeps the USD 1,800 minimum protected."
request_217,19282.19,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,reduce_to:event_19979:561.44,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,24466576.78,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,698.4,affordable_with_plan,installments,2026-04-07:580.01|2026-05-07:580.01|2026-06-06:580.01,2026-05-15,none,"Use 3 installments of EUR 580.01, starting 7 April 2026. This leaves at least EUR 1,100 available."
request_220,55.49,not_affordable,not_recommended,none,,none,"Do not make this payment by 3 July 2024. None of the available options keeps the EUR 1,100 minimum protected."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days."
request_223,898.7,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10327000,affordable_with_plan,installments,2025-02-04:10327000,2025-02-04,none,"Use 1 installments of IDR 10,327,000, starting 4 February 2025. This leaves at least IDR 22,187,600 available."
request_225,9533802.88,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,reduce_to:event_20649:314450,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2025. None of the available options keeps the INR 209,400 minimum protected."
request_227,7114,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 June 2025. None of the available options keeps the INR 62,900 minimum protected."
request_228,1448291.88,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 April 2026. None of the available options keeps the IDR 26,191,200 minimum protected."
request_229,504.17,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.6,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days."
request_231,30342.02,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,reduce_to:event_21305:845.9,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,482.14,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 August 2024. None of the available options keeps the EUR 2,400 minimum protected."
request_233,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 December 2025. None of the available options keeps the IDR 10,365,700 minimum protected."
request_234,183.81,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum."
request_235,967.2,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,6040273.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 23 February 2025. None of the available options keeps the IDR 16,768,600 minimum protected."
request_237,22255222.5,affordable_with_plan,full_payment,2026-04-05:23826000,,reduce_to:event_21813:548720,"Reduce the clothing and household items to IDR 548,720, then pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available."
request_238,663.6,affordable_with_plan,installments,2024-12-07:663.60,2024-12-07,none,"Use 1 installments of USD 663.60, starting 7 December 2024. This leaves at least USD 700 available."
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13823.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the INR 52,800 minimum protected."
request_241,21052000,affordable_with_plan,installments,2024-03-03:21052000,2024-03-03,none,"Use 1 installments of IDR 21,052,000, starting 3 March 2024. This leaves at least IDR 19,252,000 available."
request_242,24.18,not_affordable,not_recommended,none,,none,Do not make this payment by 25 August 2025. None of the available options keeps the EUR 600 minimum protected.
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 January 2026. None of the available options keeps the INR 94,600 minimum protected."
request_246,64086,affordable_with_plan,installments,2026-04-03:64086,2026-04-03,none,"Use 1 installments of ZAR 64,086, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.3,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days."
request_248,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 April 2025. None of the available options keeps the USD 1,300 minimum protected."
request_249,129.48,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum.
request_250,15513.41,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 January 2025. None of the available options keeps the ZAR 35,300 minimum protected."
request_251,739.19,not_affordable,not_recommended,none,,none,"Do not make this payment by 6 June 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_252,3678602.56,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum."
request_253,1557.54,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,627.46,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum."
request_255,812392.97,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2026. None of the available options keeps the IDR 9,813,900 minimum protected."
request_256,151164.03,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available."
request_257,339.51,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600 minimum."
request_258,1113.6,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,252.87,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum.
request_260,6113506.56,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 April 2025. None of the available options keeps the IDR 20,727,700 minimum protected."
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,"Pay IDR 9,236,000 today. This leaves at least IDR 31,018,500 available over the next 90 days."
request_263,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 June 2025. None of the available options keeps the ZAR 24,100 minimum protected."
request_264,27460.7,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum."
request_265,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 March 2024. None of the available options keeps the INR 189,700 minimum protected."
request_266,773.79,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1640.88,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1,500 available."
request_268,1037.68,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,10003.35,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"Pay ZAR 15,490 in full on 15 December 2025. Paying earlier would take the balance below the ZAR 23,100 minimum."
request_270,116.55,not_affordable,not_recommended,none,,none,"Do not make this payment by 30 August 2026. None of the available options keeps the USD 1,400 minimum protected."
request_271,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 November 2024. None of the available options keeps the INR 58,200 minimum protected."
request_272,5414835.81,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9490065.67,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,"Use 3 installments of IDR 5,498,480, starting 7 April 2026. This leaves at least IDR 18,774,600 available."
request_274,2128.87,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-02-15,reduce_to:event_25181:51.6,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1,800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
